site,level,n,log10_radius,log10_inherited_error,log10_fresh_error,log10_periodic_error,log10_neighbor_signal,log10_differential_error,log10_differential_relative_to_signal,log10_inherited_relative_to_signal,log10_periodic_relative_to_signal
deep_boundary,18,28,-13.588182584953923,-18.68515697407385,-44.70862788724205,-43.66980149911864,-11.611986578117587,-25.995178257663376,-14.383191679545789,-7.073170395956261,-32.057814921001054
deep_boundary,19,29,-14.065303839673586,-18.48946766878369,-46.239401098507855,-43.809324318779126,-11.89295372720497,-26.276636189063918,-14.383682461858948,-6.596513941578719,-31.916370591574157
deep_boundary,20,30,-14.542425094393248,-18.53570359175794,-47.86208110519989,-43.97316978709935,-12.414434806464271,-26.800020818184816,-14.385586011720545,-6.121268785293669,-31.55873498063508
deep_boundary,21,31,-15.019546349112911,-18.325036866545933,-49.38316296628537,-43.802648957834485,-12.681274182002504,-27.06651316117351,-14.385238979171007,-5.643762684543429,-31.12137477583198
deep_boundary,22,32,-15.496667603832574,-18.347289417931165,-51.021587228273305,-43.83836340022211,-13.178820265821505,-27.565898123899157,-14.387077858077651,-5.16846915210966,-30.6595431344006
deep_boundary,23,33,-15.973788858552236,-18.113030671248513,-52.513558409948644,-43.60859954981968,-13.422406396372816,-27.808809670195746,-14.38640327382293,-4.690624274875697,-30.186193153446865
deep_boundary,24,34,-16.4509101132719,-18.117313310458023,-54.13099168978701,-43.61438127230783,-13.902583998349717,-28.29018323302232,-14.387599234672601,-4.214729312108306,-29.711797273958112
deep_boundary,25,35,-16.92803136799156,-17.850973258783434,-55.58272591920787,-55.15459975970918,-14.113999897985485,-28.501008645478084,-14.3870087474926,-3.7369733607979487,-41.04059986172369
deep_boundary,26,36,-17.405152622711224,-17.862505348633434,-57.15596469904389,-55.97981647191249,-14.602270301804333,-28.989502204299654,-14.387231902495321,-3.2602350468291004,-41.37754617010816
deep_boundary,27,37,-17.882273877430887,-17.57102921999155,-58.5924554656913,-56.05458224671421,-14.78818118421282,-29.175111234347956,-14.386930050135135,-2.7828480357787306,-41.26640106250139
deep_boundary,28,38,-18.35939513215055,-17.705277334153028,-60.13040105674642,-56.313220853498045,-15.39993012690985,-29.785803768565632,-14.385873641655783,-2.3053472072431784,-40.913290726588194
deep_boundary,29,39,-18.836516386870212,-17.464982008317048,-61.772039924481184,-56.11447395672826,-15.636553047789388,-30.022390379620823,-14.385837331831436,-1.8284289605276598,-40.47792090893887
deep_boundary,30,40,-19.313637641589875,-20.17064457597261,-63.378452173736896,-58.833972838582696,-18.701197621046553,-32.961861094484505,-14.260663473437951,-1.469446954926056,-40.13277521753614
deep_boundary,31,41,-19.790758896309537,-19.991531929793833,-65.09572623242805,-58.659473872748066,-19.069180061239397,-33.25987016938934,-14.19069010814994,-0.9223518685544363,-39.59029381150867
deep_boundary,32,42,-20.2678801510292,-20.3526218036147,-67.33546908857909,-59.02210098811272,-19.751085928904146,-34.09807817007243,-14.34699224116828,-0.601535874710553,-39.27101505920857
deep_boundary,33,43,-20.74500140574886,-20.192983312866463,-69.07755784925195,-68.52461155304118,-20.164127310521113,-34.41556125771086,-14.25143394718975,-0.028856002345349907,-48.36048424252007
deep_boundary,34,44,-21.22212266046852,-20.433404011305985,-71.20756403153376,-69.5579264432464,-20.718582004628203,-35.13310150055207,-14.41451949592387,0.28517799332221827,-48.8393444386182
deep_boundary,35,45,-21.699243915188184,-20.286203953358786,-72.96280457614813,-69.74799602172396,-21.15068213096198,-35.46302297711381,-14.31234084615183,0.8644781776031927,-48.59731389076198
deep_boundary,36,46,-22.176365169907847,-20.457154286110217,-75.02877290762298,-70.03862982889527,-21.64684932799367,-36.111093207265206,-14.464243879271535,1.1896950418834535,-48.391780500901596
deep_boundary,37,47,-22.65348642462751,-20.319023194678458,-76.79283967636486,-69.94097480903868,-22.0824501864763,-36.450083643251574,-14.367633456775273,1.763426991797843,-47.85852462256238
deep_boundary,38,48,-23.13060767934717,-20.43782535327658,-78.80886987076347,-70.07331818479354,-22.547241097563948,-37.04600578271411,-14.498764685150164,2.109415744287368,-47.52607708722959
deep_boundary,39,49,-23.607728934066834,-20.306767719946944,-80.57922376379068,-69.94677907643552,-22.976920811151768,-37.39206969453106,-14.415148883379292,2.670153091204824,-46.96985826528375
deep_boundary,40,50,-24.084850188786497,-20.380091928711362,-82.55023554794066,-70.02160996512487,-23.421493016164266,-37.94251383818234,-14.521020822018077,3.041401087452904,-46.600116948960604
deep_boundary,41,51,-24.56197144350616,-20.254777301899377,-84.32495864595778,-83.7726328839368,-23.839832903030594,-38.29432080172864,-14.454487898698044,3.5850556011312165,-59.932799980906196
deep_boundary,42,52,-25.039092698225822,-20.28380623573773,-86.25071667846015,-84.59597920562535,-24.266495906709817,-38.80046952547418,-14.53397361876436,3.982689670972089,-60.329483298915534
deep_boundary,43,53,-25.516213952945485,-20.163308818983143,-88.02263760451046,-84.81237940823142,-24.67096073114523,-39.15709378865855,-14.486133057513321,4.5076519121620855,-60.14141867708619
deep_boundary,44,54,-25.993335207665147,-20.144964786789757,-89.1419983281826,-84.91373105448346,-25.075324462793755,-39.615869297972054,-14.540544835178299,4.930359676003999,-59.838406591689704
deep_boundary,45,55,-26.47045646238481,-20.028803550088462,-89.03529053714286,-84.83806694794436,-25.465812272808535,-39.97682992376067,-14.511017650952134,5.437008722720073,-59.37225467513582
